日経平均,,,,,TOPIX,,,,CPI,東京市場　ドル・円　スポット　17時時点/月末,貸出約定平均金利（月次）,企業物価指数（月次）
2013年11月,"14,403.07","15,729.09","14,026.17","15,661.87","1,199.68","1,261.04","1,171.20","1,258.66",95.3 ,102.24,1.11,2.6
2013年10月,"14,517.98","14,799.28","13,748.94","14,327.94","1,198.18","1,222.56","1,138.75","1,194.26",95.3 ,98.34,1.021,2.5
2013年9月,"13,438.07","14,817.50","13,407.53","14,455.80","1,109.41","1,223.12","1,107.90","1,194.10",95.2 ,97.89,0.911,2.3
2013年8月,"13,674.50","14,466.16","13,188.14","13,388.86","1,134.84","1,196.17","1,103.94","1,106.05",94.9 ,98.06,1.089,2.3
2013年7月,"13,746.72","14,953.29","13,562.70","13,668.32","1,143.96","1,232.02","1,127.01","1,131.70",94.6 ,97.85,0.95,2.1
2013年6月,"13,551.36","13,724.44","12,415.85","13,677.32","1,122.10","1,139.76","1,033.02","1,133.84",94.4 ,98.83,0.956,1.2
2013年5月,"13,837.72","15,942.60","13,555.66","13,774.54","1,164.31","1,289.77","1,129.07","1,135.78",94.3 ,100.63,1.158,0.6
2013年4月,"12,371.34","13,983.87","11,805.78","13,860.86","1,031.75","1,176.36",971.33,"1,165.13",94.2 ,97.83,0.962,0.1
2013年3月,"11,464.71","12,650.26","11,464.71","12,397.91",971.99,"1,061.75",971.22,"1,034.71",93.9 ,94.04,0.909,-0.5
2013年2月,"11,193.72","11,662.52","11,046.92","11,559.36",945.54,981.8,930.04,975.66,93.8 ,92.36,1.111,-0.1
2013年1月,"10,604.50","11,145.38","10,398.61","11,138.66",876.97,942.08,862.62,940.25,94.0 ,90.92,1.119,-0.4
2012年12月,"9,484.20","10,433.63","9,376.97","10,395.18",785.48,861.57,776.83,859.8,93.9 ,86.32,1,-0.7
2012年11月,"8,931.71","9,492.91","8,619.45","9,446.01",743.02,787.74,718.36,781.46,93.9 ,82.63,1.146,-1.1
2012年10月,"8,815.07","9,075.59","8,488.14","8,928.29",732.78,757.59,710.32,742.33,94.3 ,79.73,1.047,-1.1
2012年9月,"8,836.61","9,288.53","8,646.03","8,870.16",731.87,769.54,715.05,737.42,94.2 ,77.58,1.04,-1.5
2012年8月,"8,622.04","9,222.87","8,513.20","8,839.91",731.11,769.79,720.03,731.64,94.1 ,78.46,1.186,-2
2012年7月,"9,103.79","9,136.02","8,328.02","8,695.06",778.66,781.94,703.31,736.31,94.0 ,78.28,1.099,-2.2
2012年6月,"8,465.47","9,044.04","8,238.96","9,006.78",712.18,773.21,692.18,770.08,94.3 ,79.61,1.011,-1.5
2012年5月,"9,471.66","9,472.25","8,455.13","8,542.73",801.76,801.97,711.38,719.49,94.8 ,78.81,1.207,-0.9
2012年4月,"10,161.72","10,190.35","9,388.14","9,520.89",862.07,863.23,800.55,804.27,95.0 ,80.74,1.07,-0.7
2012年3月,"9,771.34","10,255.15","9,509.10","10,083.56",840.23,872.42,815.85,854.35,94.9 ,82.17,0.966,0.3
2012年2月,"8,789.06","9,866.41","8,780.10","9,723.24",755.1,847.83,754.84,835.96,94.5 ,80.49,1.137,0.4
2012年1月,"8,549.54","8,911.62","8,349.33","8,802.51",737.52,769.36,722.85,755.27,94.3 ,76.3,1.108,0.3
2011年12月,"8,581.20","8,729.81","8,272.26","8,455.35",740.7,750.61,712.27,728.61,94.1 ,77.57,1.08,0.8
2011年11月,"8,880.75","8,946.00","8,135.79","8,434.61",757.77,761.04,703.88,728.46,94.1 ,78.01,1.325,1.3
2011年10月,"8,567.98","9,152.39","8,343.01","8,988.39",748.8,779.08,724.77,764.06,94.7 ,78.81,1.063,1.3
2011年9月,"9,017.01","9,098.15","8,359.70","8,700.29",776.04,780.99,727.33,761.17,94.6 ,76.7,1.11,2
2011年8月,"9,907.04","10,040.13","8,619.21","8,955.20",847.12,858.53,740.51,770.6,94.6 ,76.58,1.07,2.2
2011年7月,"9,878.69","10,207.91","9,824.34","9,833.03",854.83,879.48,841.37,841.37,94.5 ,77.59,1.195,2.2
2011年6月,"9,708.05","9,849.69","9,318.62","9,816.09",839.41,850.32,801.78,849.22,94.5 ,80.42,1.081,1.9
2011年5月,"9,964.39","10,017.47","9,406.04","9,693.73",861.6,866.65,812.52,838.48,94.7 ,81.6,1.196,1.6
2011年4月,"9,757.28","9,849.74","9,405.19","9,849.74",870.96,874.35,824.61,851.85,94.7 ,81.6,1.126,1.8
2011年3月,"10,676.24","10,768.43","8,227.63","9,755.10",956.34,964.18,725.9,869.38,94.6 ,82.84,1.081,1.3
2011年2月,"10,281.55","10,891.60","10,245.75","10,624.09",914.34,976.28,910.82,951.27,94.3 ,81.68,1.095,0.7
2011年1月,"10,352.19","10,620.57","10,182.57","10,237.92",909.44,939.7,904.25,910.08,94.4 ,82.04,1.161,0.6
2010年12月,"9,939.80","10,394.22","9,918.55","10,228.92",860.7,909.67,858.87,898.8,94.4 ,81.51,1.192,1.2
2010年11月,"9,166.85","10,157.97","9,123.62","9,937.04",806.55,878.64,799.64,860.94,94.8 ,84.03,1.095,0.9
2010年10月,"9,440.52","9,716.92","9,179.15","9,202.45",833.46,850.13,803.54,810.91,95.0 ,80.68,1.228,0.9
2010年9月,"8,833.32","9,704.25","8,796.45","9,369.35",804.25,858.77,800.69,829.51,94.7 ,83.32,1.209,-0.1
2010年8月,"9,574.64","9,750.88","8,807.41","8,824.06",851.45,864.25,803.78,804.67,94.4 ,84.24,1.169,0
2010年7月,"9,296.86","9,807.36","9,091.70","9,537.30",834.72,874.25,822.02,849.5,94.1 ,86.37,1.229,-0.1
2010年6月,"9,747.26","10,251.90","9,347.07","9,382.64",879.43,904.03,835.91,841.42,94.7 ,88.66,1.127,0.5
2010年5月,"10,847.90","10,847.90","9,395.29","9,768.70",970.44,970.46,850.88,880.46,94.8 ,91.49,1.121,0.4
2010年4月,"11,178.92","11,408.17","10,865.92","11,057.40",983.99,"1,001.77",968.79,987.04,94.7 ,94.18,1.356,-0.2
2010年3月,"10,128.73","11,147.62","10,116.86","11,089.94",895.23,984.06,893.81,978.81,94.7 ,93.27,1.284,-1.3
2010年2月,"10,212.36","10,449.75","9,867.39","10,126.03",900.38,921.9,876.77,894.1,94.5 ,89.34,1.19,-1.6
2010年1月,"10,609.34","10,982.10","10,198.04","10,198.04",912.48,966.4,901.12,901.12,94.5 ,90.19,1.338,-2.1
2009年12月,"9,281.82","10,707.51","9,233.20","10,546.44",833.52,920.54,829.56,907.59,94.7 ,92.13,1.262,-3.8
2009年11月,"9,903.77","9,979.46","9,076.41","9,345.55",884.08,884.08,809.24,839.94,94.9 ,86.15,1.23,-5
2009年10月,"10,072.64","10,397.69","9,628.67","10,034.74",905.39,914.96,863.78,894.67,95.1 ,91.11,1.39,-6.8
2009年9月,"10,453.37","10,577.19","9,971.05","10,133.23",962.29,971.91,898.08,909.84,95.5 ,89.76,1.367,-7.9
2009年8月,"10,355.23","10,767.00","10,142.22","10,492.53",953.53,987.27,938.81,965.73,95.4 ,92.78,1.363,-8.5
2009年7月,"9,889.34","10,359.07","9,050.33","10,356.83",924.18,950.38,852.11,950.26,95.2 ,95.61,1.431,-8.4
2009年6月,"9,517.49","10,170.82","9,491.26","9,958.44",898.35,954.08,895.56,929.76,95.6 ,95.56,1.266,-6.8
2009年5月,"8,848.84","9,522.50","8,827.13","9,522.50",840.13,906.47,837.68,897.91,95.8 ,96.45,1.309,-5.6
2009年4月,"8,173.36","9,068.80","8,084.62","8,828.26",780.51,856.08,778.21,837.79,96.0 ,97.67,1.47,-4.1
2009年3月,"7,454.28","8,843.18","7,021.28","8,109.53",745.74,845.64,698.46,773.66,96.0 ,98.31,1.377,-2.6
2009年2月,"7,908.51","8,257.71","7,155.16","7,568.42",785.66,803.6,717.85,756.71,95.7 ,97.87,1.373,-2
2009年1月,"8,991.21","9,325.35","7,671.04","7,994.05",871.01,896.21,767.82,794.03,96.0 ,89.51,1.545,-0.9
2008年12月,"8,464.36","8,859.56","7,849.84","8,859.56",832.62,859.66,782.16,859.24,96.4 ,90.28,1.454,0.9
2008年11月,"8,702.77","9,521.24","7,406.18","8,512.27",878.43,966.91,753.91,834.82,96.8 ,95.31,1.618,2.4
2008年10月,"11,396.61","11,456.64","6,994.90","8,576.98","1,099.34","1,107.68",721.53,867.12,97.5 ,97.01,1.684,4.5
2008年9月,"12,936.81","12,940.55","11,160.83","11,259.86","1,242.10","1,242.10","1,069.69","1,087.41",97.6 ,104.76,1.551,6.9
2008年8月,"13,276.57","13,468.81","12,631.94","13,072.87","1,294.38","1,296.07","1,212.95","1,254.71",97.6 ,108.8,1.587,7.5
2008年7月,"13,514.86","13,603.31","12,671.34","13,376.81","1,324.11","1,334.52","1,240.91","1,303.62",97.4 ,108.13,1.675,7.5
2008年6月,"14,342.96","14,601.27","13,453.35","13,481.38","1,409.09","1,449.14","1,311.35","1,320.10",97.3 ,105.33,1.554,5.8
2008年5月,"13,802.59","14,392.53","13,540.68","14,338.54","1,352.77","1,411.87","1,327.21","1,408.14",96.9 ,105.46,1.629,4.9
2008年4月,"12,539.80","14,003.28","12,521.84","13,849.99","1,218.64","1,372.96","1,214.92","1,358.65",96.3 ,104.05,1.65,4
2008年3月,"13,412.87","13,413.63","11,691.00","12,525.54","1,306.80","1,307.03","1,139.62","1,212.96",96.3 ,99.37,1.583,4
2008年2月,"13,517.74","14,105.47","12,923.42","13,603.02","1,342.54","1,372.82","1,274.08","1,324.28",95.8 ,104.34,1.554,3.6
2008年1月,"15,155.73","15,156.66","12,572.68","13,592.47","1,461.23","1,461.31","1,219.95","1,346.31",96.0 ,106.63,1.677,3
2007年12月,"15,747.47","16,107.65","14,998.01","15,307.78","1,543.17","1,578.39","1,447.54","1,475.68",96.2 ,113.12,1.613,2.6
2007年11月,"16,812.90","16,887.04","14,669.85","15,680.67","1,626.51","1,638.71","1,417.47","1,531.88",95.9 ,110.29,1.799,2.3
2007年10月,"16,773.10","17,488.97","16,199.02","16,737.63","1,614.23","1,679.71","1,539.09","1,620.07",96.0 ,114.78,1.699,2
2007年9月,"16,511.07","16,929.26","15,610.65","16,785.69","1,605.66","1,622.49","1,506.19","1,616.62",95.8 ,115.27,1.693,1.3
2007年8月,"17,169.20","17,274.33","15,262.10","16,569.09","1,698.33","1,698.33","1,479.82","1,608.25",95.8 ,116.24,1.826,1.6
2007年7月,"18,139.04","18,295.27","17,042.66","17,248.89","1,776.80","1,796.89","1,676.69","1,706.18",95.4 ,118.99,1.682,1.8
2007年6月,"17,949.92","18,297.00","17,591.93","18,138.36","1,763.96","1,793.61","1,731.41","1,774.88",95.5 ,123.48,1.654,1.8
2007年5月,"17,396.30","17,875.75","17,203.03","17,875.75","1,704.01","1,757.09","1,686.84","1,755.68",95.7 ,121.63,1.734,1.7
2007年4月,"17,346.25","17,782.08","16,999.05","17,400.41","1,719.78","1,743.50","1,682.49","1,701.00",95.5 ,119.41,1.594,1.9
2007年3月,"17,542.23","17,558.04","16,532.91","17,287.65","1,754.46","1,755.70","1,656.74","1,713.61",95.2 ,118.05,1.622,1.3
2007年2月,"17,377.03","18,300.39","17,199.66","17,604.12","1,722.66","1,823.89","1,712.28","1,752.74",95.0 ,118.59,1.625,1.2
2007年1月,"17,322.50","17,617.64","16,758.46","17,383.42","1,692.94","1,749.18","1,650.82","1,721.96",95.4 ,121.34,1.602,1.5
2006年12月,"16,313.02","17,301.69","16,185.92","17,225.83","1,606.27","1,685.76","1,594.72","1,681.07",95.5 ,118.92,1.563,1.7
2006年11月,"16,338.72","16,512.51","15,615.56","16,274.33","1,615.58","1,629.29","1,526.37","1,603.03",95.4 ,116.12,1.638,1.9
2006年10月,"16,169.00","16,901.53","16,028.32","16,399.39","1,614.82","1,672.02","1,596.24","1,617.42",95.9 ,117.74,1.499,2
2006年9月,"16,072.81","16,414.94","15,513.87","16,127.58","1,628.70","1,655.27","1,546.03","1,610.73",96.1 ,118.05,1.449,2.7
2006年8月,"15,387.52","16,244.84","15,154.06","16,140.76","1,568.46","1,645.43","1,540.12","1,634.46",96.1 ,117.23,1.545,2.6
2006年7月,"15,573.35","15,710.39","14,437.24","15,456.81","1,593.15","1,606.86","1,473.59","1,572.01",95.5 ,114.47,1.448,2.5
2006年6月,"15,603.25","15,789.31","14,045.53","15,505.18","1,596.14","1,606.11","1,439.00","1,586.96",95.8 ,114.66,1.367,2.5
2006年5月,"16,929.83","17,375.25","15,442.53","15,467.33","1,716.01","1,763.76","1,574.45","1,579.94",95.8 ,111.85,1.363,2.3
2006年4月,"17,127.61","17,563.37","16,750.50","16,906.23","1,735.44","1,783.72","1,700.15","1,716.43",95.4 ,114.32,1.292,1.7
,,,,,,,,,95.3,117.47,1.374,2
,,,,,,,,,,116.35,1.428,2.2
,,,,,,,,,,117.18,1.395,2
,,,,,,,,,,117.48,1.296,2.3
,,,,,,,,,,119.46,1.391,2
,,,,,,,,,,115.67,1.341,2.1
,,,,,,,,,,113.28,1.311,1.8
,,,,,,,,,,111.42,1.404,1.8
,,,,,,,,,,112.18,1.395,1.6
,,,,,,,,,,110.37,1.427,1.4
,,,,,,,,,,108.17,1.407,1.8
,,,,,,,,,,105.87,1.415,1.9
,,,,,,,,,,106.97,1.324,1.4
,,,,,,,,,,104.58,1.551,1.3
,,,,,,,,,,103.58,1.553,1.4
,,,,,,,,,,103.78,1.482,1.9
,,,,,,,,,,103.17,1.592,2.1
,,,,,,,,,,105.87,1.538,2.1
,,,,,,,,,,110.92,1.442,1.9
,,,,,,,,,,109.86,1.621,1.7
,,,,,,,,,,111.67,1.606,1.7
,,,,,,,,,,108.69,1.453,1.5
,,,,,,,,,,109.56,1.588,0.9
,,,,,,,,,,110.44,1.546,0.6
,,,,,,,,,,103.95,1.443,0.2
,,,,,,,,,,109.08,1.648,0
,,,,,,,,,,105.88,1.661,0
,,,,,,,,,,106.97,1.468,-0.2
,,,,,,,,,,109.34,1.688,-0.5
,,,,,,,,,,108.99,1.629,-0.5
,,,,,,,,,,110.48,1.381,-0.6
,,,,,,,,,,117.13,1.704,-0.7
,,,,,,,,,,120.11,1.611,-0.8
,,,,,,,,,,119.82,1.526,-1.3
,,,,,,,,,,118.63,1.69,-1.1
,,,,,,,,,,119.46,1.61,-0.8
,,,,,,,,,,119.02,1.565,-0.8
,,,,,,,,,,117.75,1.692,-0.8
,,,,,,,,,,119.21,1.615,-1
,,,,,,,,,,119.37,1.537,-1.3
,,,,,,,,,,122.44,1.609,-1.2
,,,,,,,,,,122.48,1.65,-1.6
,,,,,,,,,,121.79,1.416,-2
,,,,,,,,,,117.97,1.734,-2
,,,,,,,,,,119.82,1.606,-2.1
,,,,,,,,,,119.22,1.598,-2.1
,,,,,,,,,,123.96,1.63,-2.2
,,,,,,,,,,127.97,1.555,-2.4
,,,,,,,,,,132.71,1.561,-2.5
,,,,,,,,,,133.89,1.622,-2.7
,,,,,,,,,,132.94,1.619,-2.7
,,,,,,,,,,131.47,1.628,-2.8
,,,,,,,,,,123.98,1.715,-2.7
,,,,,,,,,,121.84,1.478,-2.7
,,,,,,,,,,119.29,1.648,-2.5
,,,,,,,,,,118.92,1.71,-2.5
,,,,,,,,,,124.79,1.588,-2.4
,,,,,,,,,,124.27,1.602,-2.1
,,,,,,,,,,119.06,1.7,-1.9
,,,,,,,,,,124.06,1.595,-2
,,,,,,,,,,125.27,1.835,-1.9
,,,,,,,,,,116.44,1.886,-1.8
,,,,,,,,,,116.38,1.906,-1.8
,,,,,,,,,,114.9,1.871,-0.2
,,,,,,,,,,111.07,1.93,-0.2
,,,,,,,,,,108.81,1.75,-0.2
,,,,,,,,,,107.75,1.788,0.1
,,,,,,,,,,106.43,1.757,0.2
,,,,,,,,,,109.52,1.739,0.3
,,,,,,,,,,105.4,1.738,0.3
,,,,,,,,,,107.3,1.748,0.2
,,,,,,,,,,106.44,1.673,0.4
,,,,,,,,,,105.29,1.739,0.2
,,,,,,,,,,110.27,1.764,0
,,,,,,,,,,106.9,1.822,-0.1
,,,,,,,,,,102.08,1.792,-0.5
,,,,,,,,,,102.42,1.811,-0.5
,,,,,,,,,,104.89,1.77,-0.7
,,,,,,,,,,105.66,1.795,-1.2
,,,,,,,,,,110.19,1.819,-1.2
,,,,,,,,,,115.27,1.723,-1.4
,,,,,,,,,,120.87,1.718,-1.7
,,,,,,,,,,121.37,1.745,-1.6
,,,,,,,,,,119.59,1.747,-1.8
,,,,,,,,,,119.99,1.81,-1.9
,,,,,,,,,,120.32,1.877,-2.2
,,,,,,,,,,115.98,1.889,-2.4
,,,,,,,,,,115.2,1.87,-2.2
,,,,,,,,,,123.83,1.855,-2.2
,,,,,,,,,,116.09,1.839,-2.1
,,,,,,,,,,135.72,1.873,-2
,,,,,,,,,,141.52,1.902,-2.1
,,,,,,,,,,143.79,1.869,-2.2
,,,,,,,,,,139.95,1.873,-2.1
,,,,,,,,,,138.72,1.906,-2.3
,,,,,,,,,,131.95,1.878,-2.3
,,,,,,,,,,133.39,1.92,-0.1
,,,,,,,,,,126.72,1.914,0.3
,,,,,,,,,,127.34,1.947,0.7
,,,,,,,,,,129.92,1.825,0.7
,,,,,,,,,,127.66,1.908,0.9
,,,,,,,,,,120.29,1.845,1.1
,,,,,,,,,,121.44,1.883,1.4
,,,,,,,,,,119.39,1.959,1.4
,,,,,,,,,,117.74,1.913,1.4
,,,,,,,,,,114.3,1.977,1.5
,,,,,,,,,,116.43,1.958,1.4
,,,,,,,,,,126.92,1.869,1.3
,,,,,,,,,,123.97,1.922,-0.8
,,,,,,,,,,120.88,1.957,-1
,,,,,,,,,,122.13,1.848,-1.2
,,,,,,,,,,115.98,1.972,-1.3
,,,,,,,,,,113.44,2.01,-1.5
,,,,,,,,,,113.27,1.967,-1.6
,,,,,,,,,,111.45,2.046,-1.8
,,,,,,,,,,108.4,2.108,-1.7
,,,,,,,,,,107.13,2.028,-1.7
,,,,,,,,,,109.88,2.146,-1.9
,,,,,,,,,,108.37,2.106,-1.7
,,,,,,,,,,104.29,2.033,-1.7
,,,,,,,,,,106.49,2.084,-1.6
,,,,,,,,,,104.58,2.068,-1.6
,,,,,,,,,,106.92,2.017,-1.5
,,,,,,,,,,102.91,2.087,-0.7
,,,,,,,,,,101.66,2.185,-0.7
,,,,,,,,,,101.9,2.211,-0.8
,,,,,,,,,,98.18,2.52,-0.9
,,,,,,,,,,97.46,2.54,-0.9
,,,,,,,,,,88.17,2.701,-0.8
,,,,,,,,,,84.77,2.859,-0.8
,,,,,,,,,,83.19,3.107,-0.7
,,,,,,,,,,83.77,3.296,-0.6
,,,,,,,,,,88.38,3.435,-0.7
,,,,,,,,,,96.93,3.472,-0.9
,,,,,,,,,,98.58,3.478,-1
,,,,,,,,,,99.83,3.493,-1
,,,,,,,,,,98.98,3.554,-1.2
,,,,,,,,,,97.37,3.466,-1.3
,,,,,,,,,,98.59,3.545,-1.3
,,,,,,,,,,99.57,3.56,-1.5
,,,,,,,,,,99.93,3.469,-1.7
,,,,,,,,,,98.95,3.552,-1.7
,,,,,,,,,,104.38,3.611,-1.9
,,,,,,,,,,102.38,3.475,-2
,,,,,,,,,,102.8,3.582,-2
,,,,,,,,,,104.3,3.653,-2
,,,,,,,,,,109.55,3.661,-2.1
,,,,,,,,,,111.89,3.861,-2.1
,,,,,,,,,,108.82,4.043,-2
,,,,,,,,,,108.23,3.861,-1.9
,,,,,,,,,,105.1,4.043,-1.9
,,,,,,,,,,104.18,,-1.7
,,,,,,,,,,105.6,,-1.6
,,,,,,,,,,106.51,,-1.5
,,,,,,,,,,107.45,,-1.3
,,,,,,,,,,111.1,,-1.2
,,,,,,,,,,115.35,,-1.2
,,,,,,,,,,117.85,,-1.1
,,,,,,,,,,124.3,,-1
,,,,,,,,,,124.65,,-1
,,,,,,,,,,124.75,,-1.1
,,,,,,,,,,123.35,,-1
,,,,,,,,,,119.25,,-0.8
,,,,,,,,,,123.42,,-0.9
,,,,,,,,,,127.3,,-0.8
,,,,,,,,,,125.55,,-0.9
,,,,,,,,,,128.33,,-1
,,,,,,,,,,133.38,,-0.9
,,,,,,,,,,133.05,,-0.8
,,,,,,,,,,129.33,,-0.7
,,,,,,,,,,125.78,,-0.6
,,,,,,,,,,125.25,,-0.4
,,,,,,,,,,130.07,,-0.2
,,,,,,,,,,131,,0.1
,,,,,,,,,,132.95,,0.5
,,,,,,,,,,136.88,,1
,,,,,,,,,,137.83,,1.2
,,,,,,,,,,138.15,,1.4
,,,,,,,,,,137.97,,1.6
,,,,,,,,,,137.42,,1.5
,,,,,,,,,,140.55,,1.6
,,,,,,,,,,131.95,,1.7
,,,,,,,,,,131.4,,1.6
,,,,,,,,,,135.4,,2.3
,,,,,,,,,,132.75,,2.2
,,,,,,,,,,129.35,,1.8
,,,,,,,,,,137.95,,1.1
,,,,,,,,,,144.5,,0.6
,,,,,,,,,,147.5,,0.5
,,,,,,,,,,152.85,,0.5
,,,,,,,,,,151.75,,0.6
,,,,,,,,,,159.08,,0.7
,,,,,,,,,,157.65,,2.5
,,,,,,,,,,148.52,,2.5
,,,,,,,,,,144.4,,2.6
,,,,,,,,,,143.4,,2.5
,,,,,,,,,,142.9,,2.5
,,,,,,,,,,142.15,,2.6
,,,,,,,,,,139.35,,2.7
,,,,,,,,,,144.28,,2.8
,,,,,,,,,,138.4,,2.7
,,,,,,,,,,143.95,,2.5
,,,,,,,,,,142.7,,2.5
,,,,,,,,,,132.49,,2.2
,,,,,,,,,,132.55,,0.1
,,,,,,,,,,127.15,,0
,,,,,,,,,,129.13,,-0.4
,,,,,,,,,,125.9,,-1
,,,,,,,,,,121.85,,-1.1
,,,,,,,,,,125,,-1.1
,,,,,,,,,,134.3,,-0.9
,,,,,,,,,,134.97,,-0.8
,,,,,,,,,,132.53,,-0.4
,,,,,,,,,,132.2,,-0.2
,,,,,,,,,,124.8,,-0.2
,,,,,,,,,,124.82,,-0.2
,,,,,,,,,,124.5,,-0.2
,,,,,,,,,,128.12,,-0.1
,,,,,,,,,,127.18,,-0.1
,,,,,,,,,,122,,0
,,,,,,,,,,132.45,,0
,,,,,,,,,,138.55,,-0.2
,,,,,,,,,,146.35,,-1.2
,,,,,,,,,,142.35,,-2.2
,,,,,,,,,,149.25,,-2.9
,,,,,,,,,,146.75,,-3.8
,,,,,,,,,,144.15,,-4.6
,,,,,,,,,,139.65,,-4.8
,,,,,,,,,,145.65,,-5.4
,,,,,,,,,,153.15,,-5.8
,,,,,,,,,,152.3,,-6.1
,,,,,,,,,,160.1,,-5.8
,,,,,,,,,,162.2,,-5.9
,,,,,,,,,,161.45,,-6
,,,,,,,,,,153.63,,-5.6
,,,,,,,,,,156.05,,-5.1
,,,,,,,,,,154.15,,-4.9
,,,,,,,,,,163.95,,-4.5
,,,,,,,,,,172.05,,-4.1
,,,,,,,,,,168.1,,-4.3
,,,,,,,,,,179.65,,-3.6
,,,,,,,,,,180.45,,-3.6
,,,,,,,,,,192.65,,-3.1
,,,,,,,,,,200.6,,-2
,,,,,,,,,,202.05,,-1.8
,,,,,,,,,,211.8,,-1.5
,,,,,,,,,,216,,-1.3
,,,,,,,,,,237.1,,-1
,,,,,,,,,,236.65,,-0.8
,,,,,,,,,,248.95,,-0.6
,,,,,,,,,,251.78,,-0.6
,,,,,,,,,,251.4,,-0.3
,,,,,,,,,,250.7,,-0.3
,,,,,,,,,,259,,0
,,,,,,,,,,254.78,,0.1
,,,,,,,,,,251.58,,0.1
,,,,,,,,,,246.5,,0.3
,,,,,,,,,,245.3,,0.4
,,,,,,,,,,245.4,,0.6
,,,,,,,,,,241.7,,0.7
,,,,,,,,,,245.45,,0.1
,,,,,,,,,,237.45,,0.1
,,,,,,,,,,231.63,,0.2
,,,,,,,,,,226.3,,0.3
,,,,,,,,,,224.75,,-0.4
,,,,,,,,,,233.28,,-0.5
,,,,,,,,,,234.74,,-0.7
,,,,,,,,,,232,,-0.9
,,,,,,,,,,234.2,,-1.2
,,,,,,,,,,233.65,,-1.2
,,,,,,,,,,236.1,,-1.3
,,,,,,,,,,246.75,,-1.3
,,,,,,,,,,241.5,,-0.4
,,,,,,,,,,239.8,,-0.4
,,,,,,,,,,238.6,,-0.6
,,,,,,,,,,237.7,,-1
,,,,,,,,,,239.3,,-0.1
,,,,,,,,,,235.55,,0
,,,,,,,,,,238.4,,0
,,,,,,,,,,235.3,,0
,,,,,,,,,,253.45,,0.2
,,,,,,,,,,277.4,,0.3
,,,,,,,,,,269.4,,0.3
,,,,,,,,,,259.6,,0.4
,,,,,,,,,,256.65,,0.4
,,,,,,,,,,255.55,,0.4
,,,,,,,,,,243.7,,0.5
,,,,,,,,,,236.3,,1.1
,,,,,,,,,,248.3,,1.1
,,,,,,,,,,235.2,,0.9
,,,,,,,,,,228.45,,0.4
,,,,,,,,,,220.25,,0.3
,,,,,,,,,,214.15,,0.2
,,,,,,,,,,233.35,,-0.1
,,,,,,,,,,231.55,,-0.3
,,,,,,,,,,228.75,,-0.5
,,,,,,,,,,239.75,,-0.4
,,,,,,,,,,225.75,,-0.2
,,,,,,,,,,223.5,,0.3
,,,,,,,,,,215,,0.8
,,,,,,,,,,211.4,,3.8
,,,,,,,,,,208.85,,5.7
,,,,,,,,,,205.2,,8.1
,,,,,,,,,,203.6,,10.4
,,,,,,,,,,216.75,,11.8
,,,,,,,,,,211.75,,12.9
,,,,,,,,,,212,,14.4
,,,,,,,,,,219.2,,15.5
,,,,,,,,,,226.85,,16
,,,,,,,,,,218.15,,17.7
,,,,,,,,,,224.4,,18.4
,,,,,,,,,,238.3,,18.5
,,,,,,,,,,249.7,,16.3
,,,,,,,,,,249.8,,15.2
,,,,,,,,,,238.8,,13.8
,,,,,,,,,,238.8,,13.8
